#Ind	Tok	NER	COMP	COREF	CLINK	REL	WIKI	MCBD
# 3-SPSP187205180201
0	有	O	O	O	_	_	_	_
1	友	O	O	O	_	_	_	_
2	自	O	O	O	_	_	_	_
3	楚	B-loc.adm.reg	O	O	_	_	Q45761	_
4	南	I-loc.adm.reg	O	O	_	_	_	_
5	來	O	O	O	_	_	_	_
6	述	O	O	O	_	_	_	_
7	及	O	O	O	_	_	_	_
8	太	B-pers.ind	B-comp.func	O	_	[10]	_	_
9	傅	I-pers.ind	I-comp.func	O	_	_	_	_
10	曾	B-pers.ind	B-comp.name	O	_	_	_	330584
11	文	I-pers.ind	B-comp.title	O	_	_	_	_
12	正	I-pers.ind	I-comp.title	O	_	_	_	_
13	公	I-pers.ind	I-comp.title	O	_	_	_	_
14	之	O	O	O	_	_	_	_
15	薨	O	O	O	_	_	_	_
16	也	O	O	O	_	_	_	_
17	楚	B-loc.adm.reg	B-comp.demonym	O	_	_	Q45761	_
18	人	O	O	O	_	_	_	_
19	聞	O	O	O	_	_	_	_
20	之	O	O	O	_	_	_	_
21	莫	O	O	O	_	_	_	_
22	不	O	O	O	_	_	_	_
23	哀	O	O	O	_	_	_	_
24	痛	O	O	O	_	_	_	_
25	往	O	O	O	_	_	_	_
26	弔	O	O	O	_	_	_	_
27	于	O	O	O	_	_	_	_
28	其	O	O	O	_	_	_	_
29	家	O	O	O	_	_	_	_
30	者	O	O	O	_	_	_	_
31	踵	O	O	O	_	_	_	_
32	相	O	O	O	_	_	_	_
33	接	O	O	O	_	_	_	_
34	也	O	O	O	_	_	_	_
35	雖	O	O	O	_	_	_	_
36	至	O	O	O	_	_	_	_
37	婦	O	O	O	_	_	_	_
38	女	O	O	O	_	_	_	_
39	亦	O	O	O	_	_	_	_
41	日	O	O	O	_	_	_	_
42	恒	O	O	O	_	_	_	_
43	什	O	O	O	_	_	_	_
44	百	O	O	O	_	_	_	_
45	至	O	O	O	_	_	_	_
46	庭	O	O	O	_	_	_	_
47	咸	O	O	O	_	_	_	_
48	再	O	O	O	_	_	_	_
49	拜	O	O	O	_	_	_	_
50	痛	O	O	O	_	_	_	_
51	哭	O	O	O	_	_	_	_
52	無	O	O	O	_	_	_	_
53	不	O	O	O	_	_	_	_
54	失	O	O	O	_	_	_	_
55	聲	O	O	O	_	_	_	_
56	富	O	O	O	_	_	_	_
57	者	O	O	O	_	_	_	_
58	兢	O	O	O	_	_	_	_
59	醵	O	O	O	_	_	_	_
60	金	O	O	O	_	_	_	_
61	爲	O	O	O	_	_	_	_
62	奠	O	O	O	_	_	_	_
63	貧	O	O	O	_	_	_	_
64	者	O	O	O	_	_	_	_
65	亦	O	O	O	_	_	_	_
66	必	O	O	O	_	_	_	_
67	携	O	O	O	_	_	_	_
68	一	O	O	O	_	_	_	_
69	炷	O	O	O	_	_	_	_
70	香	O	O	O	_	_	_	_
71	以	O	O	O	_	_	_	_
72	當	O	O	O	_	_	_	_
73	束	O	O	O	_	_	_	_
74	芻	O	O	O	_	_	_	_
75	之	O	O	O	_	_	_	_
76	敬	O	O	O	_	_	_	_
77	或	O	O	O	_	_	_	_
78	問	O	O	O	_	_	_	_
79	其	O	O	O	_	_	_	_
80	受	O	O	O	_	_	_	_
82	公	O	O	O	_	_	_	_
83	何	O	O	O	_	_	_	_
84	恩	O	O	O	_	_	_	_
85	而	O	O	O	_	_	_	_
86	感	O	O	O	_	_	_	_
87	激	O	O	O	_	_	_	_
88	至	O	O	O	_	_	_	_
89	是	O	O	O	_	_	_	_
90	則	O	O	O	_	_	_	_
91	均	O	O	O	_	_	_	_
92	莫	O	O	O	_	_	_	_
93	能	O	O	O	_	_	_	_
94	名	O	O	O	_	_	_	_
95	也	O	O	O	_	_	_	_
96	噫	O	O	O	_	_	_	_
97	公	O	O	O	_	_	_	_
98	德	O	O	O	_	_	_	_
99	之	O	O	O	_	_	_	_
100	感	O	O	O	_	_	_	_
